,tag_id,artwork_id
11849,1,TCMA-4a3398b8-276b-4dfe-84c6-bddad00122a9
5485,1,MET-6f279786-6a56-4c17-921b-0ab0a2df2531
6006,1,MET-b882e6d9-48e0-4725-89b9-5cf78dd0e872
1490,1,ARTIC-df50a0cd-94b9-7a7f-f982-3b29786bc9f5
10170,1,TCMA-052b6baf-6c12-44b9-b1e5-6a2695abd032
10169,1,TCMA-1605ea3a-2c03-4bc4-b970-28c0cb36cd97
6759,1,MET-f44266d0-95d5-40e1-8aff-4cd0693d42a1
7881,1,MET-6903595f-debd-44eb-98ae-6091dd9ca34a
11851,1,TCMA-433ec7a4-6b7b-4195-8f1c-fd43d2440887
10168,1,TCMA-1d2ef751-2124-4b16-9442-3966e930b520
5494,1,MET-c8e14c2c-27e1-4caf-8e66-36d6f3bf3a14
10167,1,TCMA-ac1339b9-c57a-4eb8-9859-f0c82d6bb21e
5493,1,MET-c3831dd1-7c79-4f62-a9a6-4cc37bc433da
2976,1,NGA-879bd223-950c-4019-a61d-8715432ab11f
10202,1,TCMA-dfc9f493-dd51-43e3-acf5-3d1da7374b27
10203,1,TCMA-c477390b-32e3-4571-abdd-209bbcab0b2b
11824,1,TCMA-2545f4b9-a420-47d2-bfb6-6e4cf1c41702
6773,1,MET-c099b9c7-6650-41f5-bb3d-9e7399c78ea2
1451,1,ARTIC-d9670476-7d0b-b6d7-2266-ed6f02ab0dc2
11825,1,TCMA-eaa49657-0aae-49eb-bbf2-db738df0052b
5474,1,MET-87c5ed6b-7ad6-4229-b35f-38633bc23106
1452,1,ARTIC-d96874ca-5efb-9af9-78ef-20099eb5ec61
5475,1,MET-1dce4958-acac-46cc-b41e-3fad265c298a
5476,1,MET-93a07923-07a4-481d-9bd4-5dc45386e961
4103,1,NGA-fd38185b-00f5-4fa9-9d12-426c11e445c6
1453,1,ARTIC-d9b07617-7953-5ef1-6a0f-1f593baf06a1
7844,1,MET-302bd62b-0c65-4793-9bf1-f7893f5386f3
11826,1,TCMA-7a3e9768-b557-4bf0-b535-a8cf92a181c9
10226,1,TCMA-b2c37cda-6553-40fd-b2a1-bcc82039ccfa
6772,1,MET-501987f0-d905-48a3-9acd-db89cb427e27
5477,1,MET-4eacf6a8-cac7-4c02-a616-f3c51acf2c3e
6771,1,MET-41de47f4-5fe9-439b-80e8-1caec55241f6
10225,1,TCMA-a5ac650a-9391-4c51-93e6-3b0f38f3e765
10224,1,TCMA-2655d09f-b744-4b19-9afe-c0facc21781b
5067,1,MET-d33eea4b-e01f-4b44-ad99-8dfe08cca1bf
3619,1,NGA-c9b3fee0-c018-4647-aca8-b3b6548c0f23
11828,1,TCMA-69ca101d-9271-4e1b-8edf-5038ad425002
4479,1,MET-b82e74fb-eefe-4779-b44b-e12d1d3f6849
402,1,ARTIC-3938ca9e-f376-7f58-7bde-0030c2a4e4f3
6012,1,MET-f72a7637-81cb-44f3-a7a1-e74dcd25282b
6775,1,MET-d9cd5f93-0473-42b4-8bea-12cc2e461a68
10239,1,TCMA-d0154263-b99d-4999-b469-dd8bfaf73c07
11821,1,TCMA-3850eec2-3570-4c40-b129-fa196bb62682
404,1,ARTIC-399332e9-94a4-64ac-4ed2-040647b2ca80
10238,1,TCMA-7aa4fa46-96c2-4dcf-bbf3-ccaaa4d279f0
1445,1,ARTIC-d812e25d-5d00-cb04-f973-c5eaf671d540
10237,1,TCMA-f4e2f3b0-5cda-442c-b20b-198449d29557
5472,1,MET-8138e291-51f0-42eb-ba82-fff1ef931896
11822,1,TCMA-d9a82b47-b421-4dee-81d1-d341ae9c6f87
10235,1,TCMA-16e81012-056b-46f2-87f9-0af3697617ba
10234,1,TCMA-284cd0aa-f1ca-474f-9d47-82b3c28838a4
5473,1,MET-618695ff-5d0d-448f-b89f-313e6c30e601
11823,1,TCMA-13e268a7-cd8b-4c76-9057-588acd3f517f
10233,1,TCMA-fe8a35dd-a05e-434c-b609-b8adfce6e1e5
6774,1,MET-3796be1c-c51d-4d82-9aff-e4e408a07eeb
6011,1,MET-d79402fe-6f2e-4546-b3a8-848c161ac65d
4792,1,MET-9450b715-fc6c-47ec-b642-9eb91c3ed509
5068,1,MET-dad24564-34ba-4435-9357-c75e809b83e3
1449,1,ARTIC-d906f17c-de41-07b3-c1d6-f26139f711a0
6010,1,MET-2b576eb6-846e-4846-b1c5-842975b96791
11830,1,TCMA-7f51e369-ceb0-4734-bf87-5e9e9ee102f4
5478,1,MET-743109e7-984d-45c6-81f5-3971a000879d
2966,1,NGA-86a1fa3e-b8e6-4e50-ba37-4596a1c53446
3625,1,NGA-ca98b362-68cf-42cd-a009-b6c4bf9c9309
10211,1,TCMA-b695df0c-4bc1-48fe-9ad4-4d1e3f89b038
5483,1,MET-616ec7b1-f9a9-4324-a319-262dfc301bd6
10210,1,TCMA-5b3efee4-dd3e-4526-acf8-ec34f075a155
6765,1,MET-33dd5310-1dcd-47da-96f2-a5e1285d7041
3626,1,NGA-caafa728-3985-436c-8bac-739ae4a06f65
2965,1,NGA-868be5f8-bd09-44b4-a173-ab65103bbf4f
10209,1,TCMA-8aabd721-8e7c-43c5-b9ce-31e0e5b024c4
3627,1,NGA-cab1e7e1-6cf9-4ca3-9492-b427caab6f24
11837,1,TCMA-fd303918-dfe9-4ca9-a647-1c3dcb72dbad
